Compilation	Reference	Reference DOI	Locality	Glacier	Region	Latitude	Longitude	Elevation (m)	Type	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Richardson and Holmlund, 1992	Larsen and Mangerud, 1981	10.3189/172756481794352216	Kråkenes, Norway	Younger Dryas cirque glacier at Kråkenes	Fennoscandia	62.02685	4.98675		Alpine	Volumetric	1.70E-01						0.55000	0.50000	0.60000	Younger Dryas cirque glacier
Richardson and Holmlund, 1992	Schneider and Bronge, 1996	10.1080/04353676.1996.11880461	Kebnekaise, Sweden	Storglaciären	Fennoscandia	67.88396	18.56302		Alpine	Volumetric	6.34E+00						0.65000			
This study	Andrews & LeMasurier, 1973	10.2307/1550741	Mt Murphy, Marie Byrd Land	West Antarctic Ice Sheet	Antarctica	-74.83860	-113.40060		Continental	Volumetric		8.20E+05					0.41000	0.36000	0.46000	
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Imja-Lhotse-Shar Glacier	Imja-Lhotse-Shar Glacier	Himalayas	27.91433	86.95458		Alpine	Volumetric	1.13E+01	3.00E+02					0.11600	0.05600	0.17600	rate converted from m/Myr; min-max from +/- values, timescale "a few centuries"
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Khumbu Glacier	Khumbu Glacier	Himalayas	27.97887	86.83426		Alpine	Volumetric	2.75E+01	3.00E+02					0.03900	0.01900	0.05900	rate converted from m/Myr; min-max from +/- values, timescale "a few centuries"
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Ngzompa Glacier	Ngzompa Glacier	Himalayas	27.98969	86.69017		Alpine	Volumetric	6.88E+01	3.00E+02					0.07300	0.03500	0.11100	rate converted from m/Myr; min-max from +/- values, timescale "a few centuries"
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Milerapa Glacier	Milerapa Glacier	Himalayas	28.62910	84.03506		Alpine	Volumetric	8.00E-01	3.00E+02					1.03400	0.49600	1.57200	rate converted from m/Myr; min-max from +/- values, timescale "a few centuries"
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	G2 Glacier	G2 Glacier	Himalayas	35.75760	76.61690		Alpine	Volumetric	1.60E+00	3.00E+02					0.23500	0.11300	0.35700	rate converted from m/Myr; min-max from +/- values, timescale "a few centuries"
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Satopanth Glacier	Satopanth Glacier	Himalayas	30.75031	79.36068		Alpine	Volumetric	1.65E+01	3.00E+02					0.21900	0.10500	0.33300	rate converted from m/Myr; min-max from +/- values, timescale "a few centuries"
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Bara Shigri Glacier	Bara Shigri Glacier	Himalayas	32.16617	77.68744		Alpine	Volumetric	1.02E+02	3.00E+02					0.36000	0.17000	0.55000	rate converted from m/Myr; min-max from +/- values, timescale "a few centuries"
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Hamtah Glacier	Hamtah Glacier	Himalayas	32.25000	77.36000		Alpine	Volumetric	3.70E+00	3.00E+02					0.19200	0.09200	0.29200	rate converted from m/Myr; min-max from +/- values, timescale "a few centuries"
This study	Bell and Laine, 1985	10.1016/0033-5894(85)90026-2	Laurentia	Laurentide Ice Sheet	Laurentide	54.00000	-89.00000		Continental	Volumetric		2.70E+06		150.000	120.000	200.000	0.05556	0.04444	0.07407	A minimum estimate is made of 1.62 × 10^6 km3
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	average	North American Cordillera	60.49829	-139.50556		Alpine	Thermochronometric							4.50000	4.00000	5.00000	sorta confused, might be exhumation rather than erosion
This study	Bonneau et al., 2017	10.1016/j.epsl.2016.11.004	Southern French Alps	unnamed	Alps	45.42881	6.80700		Alpine	Volumetric	2.83E+03	1.00E+00								0.22 mm/yr, but reading the text it looks like this is the non-glacial number? The text contrasts this number with 1.8mm/yr glacial by Darnault et al 2012.. Estimated the volume of sediment with REE analysis, and then the erosion rate
This study	Braun, 1989	10.1016/0169-555X(89)90014-7	Laurentia	Laurentide Ice Sheet	Laurentide	54.00000	-89.00000		Continental	Volumetric	1.32E+01	2.47E+05		435.000	120.000	750.000	1.76500	0.49000	3.04000	Average erosion rate is the average of the min and max rate, but the min and max are themselves the min and max of a range
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran ice sheet	North American Cordillera	49.03568	-122.71367		Continental	Cosmogenic surface	1.00E-08	1.50E+04					0.68500	0.60000	0.77000	reported 36Cl ages; entered min/max values (incl. ±) for transect erosion rate compilation. Min transect value = 0.63 ± 0.03 and max = 0.74 ± 0.03 mm/yr
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Side lobe of the Taylor Glacier in Arena Valley	Antarctica	-77.85000	160.92000		Alpine	Cosmogenic surface	1.00E-08	2.70E+06					0.00012	0.00011	0.00013	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Side lobe of the Taylor Glacier in Arena Valley	Antarctica	-77.85000	160.92000		Alpine	Cosmogenic surface	1.00E-08	3.50E+06					0.00007	0.00007	0.00008	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Side lobe of the Taylor Glacier in Arena Valley	Antarctica	-77.85000	160.92000		Alpine	Cosmogenic surface	1.00E-08	1.60E+06					0.00027	0.00025	0.00029	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Unknown glacier in Arena Valley	Antarctica	-77.90000	160.92000		Alpine	Cosmogenic surface	1.00E-08	4.30E+06					0.00005	0.00005	0.00005	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Unknown glacier in Arena Valley	Antarctica	-77.90000	160.92000		Alpine	Cosmogenic surface	1.00E-08	3.60E+06					0.00007	0.00007	0.00008	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Beardmore glacier	Antarctica	-77.54999	160.08970		Alpine	Cosmogenic surface	1.00E-08	2.60E+06					0.00013	0.00012	0.00014	Time interval is exposure age
This study	Brook et al., 1995	10.1130/0091-7613(1995)023<1063:COAEAU>2.3.CO;2	Dry Valleys, East Antarctica	Beardmore glacier	Antarctica	-77.54999	160.08970		Alpine	Cosmogenic surface	1.00E-08	3.80E+06					0.00006	0.00006	0.00007	Time interval is exposure age
This study	Colgan et al., 2002	10.1130/0016-7606(2002)114<1581:VIGENT>2.0.CO;2	Wisconsin, USA	Laurentide Ice Sheet	Laurentide	43.78440	-88.78790		Continental	Cosmogenic surface	1.00E-08	1.40E+04					0.13000	0.01000	0.25000	10Be & 26Al cosmo; reported minimum-limiting glacial erosion rates
This study	Collins, 1998		Karakoram, Kashmir Region	Batura Glacier	Karakoram mountains	36.56491	74.61440		Alpine	Volumetric	3.65E+02						3.83000	3.45000	4.21000	glacial abrasion rate (mm/yr)
This study	Corbett et al., 2019	10.1016/j.quascirev.2018.12.014	Mt. Mansfield, Vermont	Laurentide Ice Sheet	Laurentide	44.54366	-72.83489		Continental	Cosmogenic surface	1.00E-08	2.00E+04		2.000			0.10000			
This study	Cowan et al., 2010	10.1130/B26595.1	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		Alpine	Volumetric	2.58E+02	1.15E+01	1.30E-03				0.05790			basin 1; total sed flux: 1.3 × 10^6 m3/yr to 4.6 × 10^7 m3/yr for all basins
This study	Cowan et al., 2010	10.1130/B26595.1	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		Alpine	Volumetric	4.34E+02	1.85E+01	6.16E-03				0.26257			basin 2
This study	Cowan et al., 2010	10.1130/B26595.1	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		Alpine	Volumetric	4.41E+02	1.80E+01	2.01E-03				0.08204			basin 3
This study	Cowan et al., 2010	10.1130/B26595.1	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		Alpine	Volumetric	6.48E+02	1.80E+01	6.22E-03				0.17291			basin 4
This study	Cowan et al., 2010	10.1130/B26595.1	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		Alpine	Volumetric	7.43E+02	1.30E+01	1.45E-03				0.02537			basin 5
This study	Cowan et al., 2010	10.1130/B26595.1	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		Alpine	Volumetric	7.51E+02	1.60E+01	5.62E-03				0.11969			basin 6
This study	Cowan et al., 2010	10.1130/B26595.1	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		Alpine	Volumetric	7.58E+02	1.50E+01	4.45E-03				0.08810			basin 7
This study	Cowan et al., 2010	10.1130/B26595.1	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		Alpine	Volumetric	1.56E+03	3.40E+01	1.11E-03				0.02426			basin 9
This study	Cowan et al., 2010	10.1130/B26595.1	Muir Inlet, Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		Alpine	Volumetric	2.49E+03	1.40E+01	4.62E-03				0.02593			basin 10
This study	Cowton et al., 2012	10.1130/G32687.1	Kangerlussuaq	Kangerlussuaq	Greenland	67.01100	-50.72000		Continental	Volumetric	5.00E+04	1.20E+04					0.30000			Updates & should arguably replace Andrews et al., 1994 value
This study	Cowton et al., 2012	10.1130/G32687.1	Qeqqata	Leverett Glacier	Greenland	79.70670	21.61830		Continental	Volumetric	6.00E+02	2.00E+00					1.00000	0.50000	1.50000	
This study	Cox et al., 2010	10.1029/2010GL045106	East Antarctica	Gamburtsev Mountains	Antarctica	-80.50000	76.00000		Alpine	Thermochronometric	2.00E+05	2.50E+08					0.01500	0.01000	0.02000	
This study	Cuffey et al., 2000	10.1130/0091-7613(2000)28<351:EACGB>2.0.CO;2	Wright Valley, Antarctica	Meserve	Antarctica	-77.49563	162.35247		Alpine	Volumetric			2.00E-08				0.00000	0.00000	0.00000	*need to get Cuffey, 1999 thesis for time interval and maybe area
This study	Darnault et al., 2012	10.1016/j.quascirev.2011.10.019	Tinée Valley, France	unnamed	Alps	44.11680	7.11299		Alpine	Cosmogenic surface	1.00E-08	8.00E+04					2.50000			
This study	Darnault et al., 2012	10.1016/j.quascirev.2011.10.019	Tinée Valley, France	unnamed	Alps	44.11680	7.11299		Alpine	Cosmogenic surface	1.00E-08	1.10E+05					1.80000			
This study	Darnault et al., 2012	10.1016/j.quascirev.2011.10.019	Tinée Valley, France	unnamed	Alps	44.11680	7.11299		Alpine	Cosmogenic surface	1.00E-08	4.00E+03					0.50000			> 0.5 mm/yr
This study	Darnault et al., 2012	10.1016/j.quascirev.2011.10.019	Tinée Valley, France	unnamed	Alps	44.11680	7.11299		Alpine	Cosmogenic surface	1.00E-08	1.80E+03					0.40000			> 0.4 mm/yr
This study	Davis et al., 2017	10.3189/172756499781821805	Baffin Island, Canada	Tumbling Glacier	Laurentide	70.94890	-71.15740		High-latitude	Cosmogenic surface	1.00E-08	5.45E+03					0.10000	0.07000	0.13000	
This study	Delmas et al., 2009	10.1016/j.quascirev.2008.11.006	Eastern Pyrenees, France	Pyrenees Mountain Glaciers	France	42.77139	0.13895		Alpine	Volumetric	9.06E+01	2.00E+03					0.61300			
This study	Delmas et al., 2009	10.1016/j.quascirev.2008.11.006	Eastern Pyrenees, France	Pyrenees Mountain Glaciers	France	42.77139	0.13895		Alpine	Volumetric	1.78E+01	8.50E+03					0.34000			
This study	Delmas et al., 2009	10.1016/j.quascirev.2008.11.006	Eastern Pyrenees, France	Pyrenees Mountain Glaciers	France	42.77139	0.13895		Alpine	Volumetric	1.78E+01	8.50E+03					0.27000			
This study	Delmas et al., 2009	10.1016/j.quascirev.2008.11.006	Eastern Pyrenees, France	Pyrenees Mountain Glaciers	France	42.77139	0.13895		Alpine	Volumetric	1.78E+01	8.50E+03					0.18000			
This study	Densmore et al., 2007	10.1029/2006GL028371	Southern Coast Mountains, British Columbia	unnamed	North American Cordillera	50.79185	-124.00293		Alpine	Thermochronometric		6.00E+06					0.80000			Since early Pliocene
This study	Dowdeswell et al., 2010	10.1016/j.quascirev.2010.06.002	Mid-Norwegian Margin	Fennoscandian Ice Sheet	Fennoscandia	63.11533	19.05290		Continental	Volumetric	1.60E+05	2.70E+06		524.000			0.19000			
This study	Dühnforth et al., 2010	10.1130/G30576.1	Yosemite, California	Tuolumne 	North American Cordillera	37.87077	-119.37766		Alpine	Cosmogenic surface	1.00E-08	2.00E+04								.2, assuming LGP 100,000 years
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		Alpine	Thermochronometric	1.00E+00	1.75E+07					0.38000			thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		Alpine	Thermochronometric	1.00E+00	2.00E+07					0.38000			thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		Alpine	Thermochronometric	1.00E+00	1.00E+07					0.57000			thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		Alpine	Thermochronometric	1.00E+00	2.00E+07					0.40000			thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		Alpine	Thermochronometric	1.00E+00	1.00E+07					0.76000			thermochron/thermal model inversions
This study	Ehlers et al., 2006	10.1130/G22507.1	Coast Mountains, British Columbia	unnamed	North American Cordillera	51.33574	-125.26976		Alpine	Thermochronometric	1.00E+00	1.50E+07					0.57000			thermochron/thermal model inversions
This study	Elverhøi et al., 1998	10.1016/S0277-3791(97)00070-X	Svalbard margin	Fennoscandian Ice Sheet	Fennoscandia	63.11533	19.05290		Continental	Volumetric	9.00E+02	2.70E+06					0.20000			
This study	Fame et al., 2019	10.1016/j.geomorph.2019.106842	New Hampshire	Laurentide Ice Sheet	Laurentide	43.89452	-71.60311		Continental	Cosmogenic surface	1.00E-08	2.70E+04					0.04630	0.00000	0.09259	<2.5m over Late Wisconsin (27 ka)
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	Patagonia	-54.53373	-69.57207		Tidewater	Volumetric	2.67E+02	3.64E+02	7.10E-04				2.66000	1.73000	3.59000	medial basin only; rho_sed = 1600; sed flux reported in units of m3 rock / year
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	Patagonia	-54.53373	-69.57207		Tidewater	Volumetric	2.67E+02	1.25E+04	1.20E-04				0.44000	0.28000	0.60000	medial basin only; rho_sed = 1700; sed flux reported in units of m3 rock / year
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	Patagonia	-54.53373	-69.57207		Tidewater	Volumetric	2.67E+02	1.00E+02	6.20E-03				23.14000	11.57000	34.71000	medial basin only; rho_sed = 1800; sed flux reported in units of m3 rock / year
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	Patagonia	-54.53373	-69.57207		Tidewater	Volumetric	1.97E+02	4.50E+01					29.31000	18.47000	40.15000	proximal + medial; rho_sed = 1800
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	Patagonia	-54.53373	-69.57207		Tidewater	Volumetric	2.67E+02	3.64E+02					5.34000	3.47000	7.21000	proximal + medial; rho_sed = 1600
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	Patagonia	-54.53373	-69.57207		Tidewater	Volumetric	2.68E+02	1.25E+04					0.52000	0.33000	0.71000	proximal + medial; rho_sed = 1700
This study	Fernandez et al., 2011	10.1029/2010JF001685	Tierra del Fuego	Marinelli Glacier	Patagonia	-54.53373	-69.57207		Tidewater	Volumetric	2.69E+02	1.00E+02					23.14000	34.71000	11.57000	proximal + medial; rho_sed = 1800
This study	Fernandez et al., 2016	10.1130/B31321.1	Antarctic Peninsula	Western Antarctic Peninsula average	Antarctica	-65.00000	-70.00000		Continental	Volumetric	1.10E+05	2.90E+06	1.21E-02				0.11000	0.07000	0.15000	
This study	Fernandez et al., 2016	10.1130/B31321.1	Antarctic Peninsula	Western Antarctic Peninsula average	Antarctica	-65.00000	-70.00000		Continental	Volumetric	1.01E+05	2.40E+06	1.21E-02				0.12000	0.07000	0.17000	
This study	Fernandez et al., 2016	10.1130/B31321.1	Antarctic Peninsula	Western Antarctic Peninsula average	Antarctica	-65.00000	-70.00000		Continental	Volumetric	9.26E+04	4.20E+06	8.33E-03				0.09000	0.06000	0.12000	
This study	Fernandez et al., 2016	10.1130/B31321.1	Andvord Bay	Andvord Bay	Antarctica	64.83333	62.65000		Continental	Volumetric	5.54E+02	8.90E+03					0.10000	0.08000	0.12000	
This study	Fernandez et al., 2016	10.1130/B31321.1	Magallanes Region, Chile	Europa Glacier	Patagonia	-50.25000	-74.20000		High-latitude	Volumetric	4.58E+02	1.25E+04					0.14000	0.12000	0.16000	
This study	Fernandez et al., 2016	10.1130/B31321.1	Northern Patagonia	Gualas Glacier	Patagonia	-47.63580	-72.84250		High-latitude	Volumetric	1.70E+02	1.13E+04					0.40000	0.34000	0.46000	
This study	Fernandez et al., 2016	10.1130/B31321.1	Herbert Sound	Herbert Sound	Antarctica	-67.65000	-62.71670		Continental	Volumetric	3.84E+02	8.63E+03					0.12000	0.11000	0.13000	
This study	Fernandez et al., 2016	10.1130/B31321.1	Lapeyrère Bay	Lapeyrère Bay	Antarctica	-64.87000	-63.06500		Continental	Volumetric	2.50E+02	1.05E+04					0.02000	0.01700	0.02300	
This study	Fernandez et al., 2016	10.1130/B31321.1	Tierra del Fuego	Marinelli glacier	Patagonia	-54.53373	-69.57207		Tidewater	Volumetric	2.67E+02	1.25E+04					0.40000	0.34000	0.46000	
This study	Fernandez et al., 2016	10.1130/B31321.1	Maxwell Bay	Maxwell Bay	Antarctica	-64.95000	-62.61670		Continental	Volumetric	2.95E+02	1.43E+04					0.36000	0.30000	0.42000	
This study	Fernandez et al., 2016	10.1130/B31321.1	San Rafael glacier	San Rafael glacier	Patagonia	-46.60710	-74.03770		High-latitude	Volumetric	7.24E+02	1.28E+04					0.83000	0.72000	0.94000	
This study	Geirsdóttir et al., 2007	10.1016/j.jog.2006.09.017	Iceland shelf	unknown	Iceland	64.84000	-18.38000		Continental	Volumetric		1.02E+04					0.06300	0.04300	0.08300	
This study	Geirsdóttir et al., 2007	10.1016/j.jog.2006.09.017	Eastern Iceland	Icelandic Ice Sheet	Iceland	65.00000	-14.00000		Continental	Volumetric		4.00E+05					0.50000			
This study	Geirsdóttir et al., 2007	10.1016/j.jog.2006.09.017	Eastern Iceland	Icelandic Ice Sheet	Iceland	65.00000	-14.00000		Continental	Volumetric		1.00E+06					0.10000			
This study	Geirsdóttir et al., 2007	10.1016/j.jog.2006.09.017	Southern Iceland	Icelandic Ice Sheet	Iceland	64.50000	-16.00000		Continental	Volumetric		8.00E+05					1.75000			
This study	Geirsdóttir et al., 2007	10.1016/j.jog.2006.09.017	Southern Iceland	Icelandic Ice Sheet	Iceland	64.50000	-16.00000		Continental	Volumetric		2.20E+00					0.23000			
This study	Glasser and Hall, 1997	10.1016/S0169-555X(97)00005-6	Cairngorm Mountains, Scotland	Scottish Ice Sheet	British Isles	57.06140	-3.60606		Continental	Volumetric	2.76E+03	2.30E+06					0.02100	0.01500	0.02700	Geomorphological reconstruction, glacial erosion but averaged over the entire quaternary. Total avg depth eroded 48 m +/- 14 m
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras alpine glaciers	Alps	45.37422	7.05711	1823	Alpine	Cosmogenic	5.10E+01	1.00E+03					0.27000	0.35000	0.19000	Sample CGP 206
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.52829	6.78551	1487	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.16000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 200
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.52697	6.78726	1504	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.16000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 201
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.54870	6.46620	432	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.65000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 202
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.45374	6.69739	1198	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.19000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 203
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.45359	6.70162	1197	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.15000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 204
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.58740	6.46035	482	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.70000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 205
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.37422	7.05711	1823	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.12000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 206
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.39033	6.25483	527	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.54000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 208
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.49377	6.32131	511	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.72000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 209
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.41417	6.14452	788	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.33000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 210
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	45.38345	6.09737	615	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.36000			Estimated from interpolated bedrock AFT-age map at location of Sample CGP 211
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	44.68100	6.69700	1050	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.16000			Estimated from interpolated bedrock AFT-age map at location of Sample RD47
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	44.71900	6.76200	1200	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.17000			Estimated from interpolated bedrock AFT-age map at location of Sample RD48
This study	Glotzbach et al., 2013	10.1002/jgrf.20107	Queyras, Western French Alps	Queyras ice-age alpine glaciers	Alps	44.77800	6.86000	1440	Alpine	Thermochronometric	1.00E+00	1.00E+06					0.23000			Estimated from interpolated bedrock AFT-age map at location of Sample RD49
This study	Godard et al., 2012	10.1029/2011JF002230	Dudh Catchment	unnamed	Himalayas	28.69644	84.16647		Alpine	Cosmogenic	5.00E+02	1.00E+03					7.00000	4.00000	10.00000	
This study	Godard et al., 2012	10.1029/2011JF002230	Nar Catchment	unnamed	Himalayas	28.69644	84.16647		Alpine	Cosmogenic	1.00E+03	1.00E+03					1.00000	0.00000	2.00000	Erosion rate given as <2 mm/yr
This study	Godard et al., 2012	10.1029/2011JF002230	Khansar Catchment	unnamed	Himalayas	28.69644	84.16647		Alpine	Cosmogenic	1.00E+03	1.00E+03					5.00000	0.00000	10.00000	Erosion rate given as <10 mm/yr
This study	Goehring et al., 2011	10.1130/G32145.1	Swiss Alps	Rhone	Alps	46.62160	8.40399		Alpine	Cosmogenic surface	1.00E-08	5.00E+03					0.34000	0.02000	0.66000	abrasion rates given (glacial erosion = abrasion+quarrying)
This study	Graham, 2022		Eqaluit tassersuat, Infinity Lake, and Ted Lake, Greenland	S of Jakobshavn Isbæ, Greenland	Greenland	69.21670	-49.98570		Continental	Volumetric	3.50E+01	1.27E+03					0.14000	0.05000	0.21000	Based on fine sediments stored in lakes alone, considered possibly a minimum estimate
This study	Graham, 2022		Eqaluit tassersuat, Infinity Lake, and Ted Lake, Greenland	S of Jakobshavn Isbæ, Greenland	Greenland	69.21670	-49.98570		Continental	Volumetric	3.50E+01	1.27E+03					0.55000			As the lake estimate, but also including "an estimate of the sediment stored in various additional landforms"
This study	Graham, 2022		Ilulissat region	Jakobshavn Isbræ	Greenland	69.21670	-49.98570		Continental	Volumetric	9.22E+02	2.20E+02					0.32000	0.20000	0.44000	Abrasion + quarrying 
This study	Grosval'd and Glazovskiy, 2008	10.1080/10889378409377218	Earth	global average	global				Tidewater	Volumetric	7.50E+05	1.20E+05					6.00000			Assume volume of troughs and fjords is from glacial erosion
This study	Grosval'd and Glazovskiy, 2008	10.1080/10889378409377218	Earth	global average	global				Tidewater	Volumetric	7.50E+05	2.80E+05					2.70000			Assume volume of troughs and fjords is from glacial erosion
This study	Gulick et al 2015	10.1073/pnas.1512549112	Gulf of Alaska/St. Elias Mts	unnamed	North American Cordillera	60.26449	-139.10915		Alpine	Volumetric	5.34E+04	1.60E+06					1.10000	1.40000	0.70000	
This study	Gulick et al 2015	10.1073/pnas.1512549112	Gulf of Alaska/St. Elias Mts	unnamed	North American Cordillera	60.26449	-139.10915		Alpine	Volumetric	5.34E+04	1.20E+06					0.30000	0.20000	0.40000	
This study	Hall et al., 2019		Forsmark/Uppland, Sweden	Fennoscandian Ice Sheet	Fennoscandia	60.42660	18.18600		Continental	Cosmogenic		3.50E+04			0.600	1.600	0.03143	0.01714	0.04571	https://www.diva-portal.org/smash/get/diva2:1385574/FULLTEXT01.pdf; Hall, A. M., Ebert, K., Goodfellow, B. W., Hättestrand, C., Heyman, J., Krabbendam, M., ... & Stroeven, A. P. (2019). Past and future impact of glacial erosion in Forsmark and Uppland.
This study	Hall et al., 2020	10.1080/04353676.2020.1774244	Eastern Sweden	Fennoscandian Ice Sheet	Fennoscandia	63.74989	18.15440		Continental	Volumetric		3.50E+04			1.000	4.000	0.07143	0.02857	0.11429	
This study	Hasholt et al., 2018	10.1080/15230430.2018.1433789	Kangerlussuaq	Kangerlussuaq	Greenland	67.01100	-50.72000		Continental	Volumetric	1.26E+04	1.00E+01	6.51E-03				0.51690			
