Compilation	Reference	Reference DOI	Locality	Glacier	Region	Latitude	Longitude	Elevation (m)	Precipitation (mm/yr)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Hallet et al., 1996	Bogen, 1993		Svalbard	Brøggerbreen	Fennoscandia	78.17750	15.65360		514.00000	151.00148	High-latitude	siliciclast, shale, carb, sed,	Volumetric	3.20000E+01	3.00000E+00					2.70000E-01			*added in area that was reported in Anderson, 2005
Hallet et al., 1996	Cai, 1994		Glacier Bay, Alaska	Johns Hopkins	North American Cordillera	58.80450	-137.15675		4495.30000	423.58208	Alpine tidewater	#N/A	Volumetric	3.16000E+02	8.70000E+01	2.40000E-02				4.72400E+01			
Hallet et al., 1996	Cai, 1994		Glacier Bay, Alaska	Caroll	North American Cordillera	59.03702	-136.54770		3483.50000	265.71096	Alpine tidewater	#N/A	Volumetric	4.00000E+02	4.00000E+00	4.10000E-02				5.43300E+01			
Hallet et al., 1996	Carlson, 1989	10.1016/0025-3227(89)90161-8	Wrangell Mountains, Alaska	Copper River	North American Cordillera	60.67736	-144.69218		3582.90000	225.92086	Alpine		Volumetric	5.33540E+04	1.00000E+00					5.60000E-01			Duration is somewhat unclear -- evidently from https://www.proquest.com/dissertations-theses/late-quaternary-history-sedimentation-copper/docview/302204219/se-2?accountid=10422 "Reimnitz (1966) states that the Copper River (Figs.l and 15) is presently contributing greater than 66 × 106 t of suspended sediment and greater than 107 × 106 t total of suspended and bedload sediment annually to the Gulf of Alaska" so sounds like a direct suspended sediment measurement, ~ 1yr timescale
Hallet et al., 1996	Carlson, 1989	10.1016/0025-3227(89)90161-8	St. Elias Mountains, Alaska	Hubbard	North American Cordillera	60.07272	-139.31007		5420.70000	274.10711	Alpine	#N/A	Volumetric	3.86500E+03	7.00000E+02	1.00000E-01				1.37100E+01			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Ледник Аютор	Ajutor-3	Central Asia	42.05364	-70.40718		1247.50000	2.11659	Alpine		Volumetric	3.40000E+00	3.60000E+01	8.14815E-07				2.40000E-01			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Issyk Kul region, Kyrgyzstan	Karabatkak	Central Asia	42.14763	78.27160		1048.30000	342.02903	Alpine	#N/A	Volumetric	4.70000E+00	1.50000E+01	1.77778E-06				3.80000E-01			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Fann Mountains, Sughd, Tajikistan	Imat	Central Asia	39.15356	68.34603		1403.20000	460.16541	Alpine	#N/A	Volumetric	3.80000E+00	6.00000E+00	3.14815E-06				8.30000E-01			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Vanj River basin, Gorno-Badakhshan, Tajikistan	RGO	Central Asia	38.69479	72.09867		847.30000	480.70940	Alpine	#N/A	Volumetric	1.09000E+02	2.50000E+01	3.48148E-04				3.19000E+00			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Pamir mountains, Gorno-Badakhshan, Tajikistan	Fedchenko	Central Asia	38.78915	72.23871		1305.20000	328.93967	Alpine	#N/A	Volumetric	6.62000E+02	3.50000E+01	2.88889E-03				4.36000E+00			
Hallet et al., 1996	Chernova, 1981	10.3189/172756481794352270	Zaravshanskiy	Zaravshanskiy	Central Asia	39.32454	69.39521		786.50000	417.48215	Alpine	sed,	Volumetric	1.34000E+02	8.30000E+01	6.66667E-04				4.98000E+00			
Hallet et al., 1996	Elverhøi et al., 1980		Svalbard	Kongsvegen	Fennoscandia	78.25620	15.51170		305.20000	152.81138	High-latitude		Volumetric	8.00000E+02	1.00000E+01					1.00000E+00			Varves every 10 cm, cores up to 1m deep
Hallet et al., 1996	Gardner and Jones, 1984		Raikgt, Pakistan Himalaya	Raikgt	Central Asia	35.34966	74.62258		1079.40000	512.98849	Alpine	sed,	Volumetric	9.33000E+01	1.00000E+01					1.75000E+00			
Hallet et al., 1996	Hallet et al., 1996	10.1016/0921-8181(95)00021-6	Norway	Nigardsbreen	Fennoscandia	61.57920	7.31470		1930.00000	361.17640	High-latitude	sed, volc, ign, met,	Volumetric	4.80000E+01	2.50000E+01					1.50000E-01			
Hallet et al., 1996	Hammer and Smith, 1983	10.1111/j.1502-3885.1983.tb00441.x	Hilda, Rocky Mts, Canada	Hilda	North American Cordillera	51.73558	-119.45687		1192.70000	166.11803	Alpine	plut, ign,	Volumetric	2.20000E+00	2.00000E+00					2.60000E-01			
Hallet et al., 1996	Hicks et al.. 1990	10.2307/1551718	New Zealand	Ivory Glacier	Pacific	-43.12281	170.91657		5332.70000	402.59767	Alpine	#N/A	Volumetric	2.20000E+00	1.00000E+01					5.60000E+00			
Hallet et al., 1996	Humphrey and Raymond, 1994	10.3189/S0022143000012429	St. Elias Mountains, Alaska	Variegated	North American Cordillera	60.00564	-139.27454		5338.60000	285.55437	Alpine	#N/A	Volumetric	7.80000E+01	3.00000E+00					5.19000E+00			
Hallet et al., 1996	Hunter, 1994		Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	1.48000E+02	3.00000E+00	7.90000E-03				2.80500E+01			
Hallet et al., 1996	Hunter, 1994		Glacier Bay, Alaska	Grand Pacific	North American Cordillera	58.74390	-137.05670		5808.10000	415.05675	Alpine tidewater	sed,	Volumetric	9.50000E+02	3.00000E+00	7.83000E-02				4.36800E+01			
Hallet et al., 1996	Hunter, 1994		Glacier Bay, Alaska	Margerie	North American Cordillera	58.86730	-137.14670		5333.30000	388.93440	Alpine tidewater	sed,	Volumetric	2.40000E+02	3.00000E+00	2.72000E-02				6.00700E+01			
Hallet et al., 1996	Jordan, 1962	10.2307/212613	Lituya Bay, Alaska	Lituya/N. Crillon	North American Cordillera	58.66551	-137.49458		3677.20000	301.31692	Alpine tidewater	#N/A	Volumetric	1.74000E+02	3.30000E+01	1.46000E-02				4.52200E+01			
Hallet et al., 1996	Kjeldsen, 1983		Norway	Visa	Fennoscandia	61.77500	6.92000		3686.50000	353.70683	High-latitude	sed, volc, ign, met,	Volumetric	3.30000E+01	2.00000E+00					6.00000E-01			
Hallet et al., 1996	Lawler et al., 1992		Jøkulská, Iceland	Jøkulská	Iceland	65.25000	-14.00000		1623.80000	278.02895	High-latitude	basalt, volc, ign,	Volumetric	1.10000E+02	1.60000E+01					3.80000E+00			
Hallet et al., 1996	Merrand, 1994		Glacier Bay, Alaska	Grand Pacific/Margerie	North American Cordillera	59.04806	-137.04277		2641.70000	313.55844	Alpine tidewater	#N/A	Volumetric	1.10000E+03	8.60000E+01	1.30000E-02				6.03000E+00			
Hallet et al., 1996	Molnia et al., 1978		St. Elias Mountains, Alaska	Malaspina	North American Cordillera	60.04325	-140.55359		6630.40000	90.23791	Alpine	#N/A	Volumetric	5.00700E+03	1.20000E+04	1.00000E-01				1.05800E+01			
Hallet et al., 1996	Molnia, 1985		Icy Bay, Alaska	Icy Bay	North American Cordillera	59.08940	-141.71810		2387.80000	78.32268	Alpine tidewater		Volumetric	1.58600E+03	5.40000E+01	5.00000E-02				1.67100E+01			
Hallet et al., 1996	Powell and Molnia, 1989	10.1016/0025-3227(89)90160-6	Glacier Bay, Alaska	McBride	North American Cordillera	58.76330	-136.55670		3390.60000	249.98017	Alpine tidewater		Volumetric	1.43000E+02	3.00000E+00	2.00000E-03				7.41000E+00			
Hallet et al., 1996	Powell, 1991	10.1130/SPE261-p75	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	1.48000E+02	9.00000E+00	2.70000E-03				9.64000E+00			
Hallet et al., 1996	Powell, 1991	10.1130/SPE261-p75	Glacier Bay, Alaska	Riggs	North American Cordillera	58.37200	-133.96120		4050.30000	312.64205	Alpine tidewater	plut, ign,	Volumetric	1.26000E+02	6.00000E+00	2.80000E-03				1.17600E+01			
Hallet et al., 1996	Powell, 1991	10.1130/SPE261-p75	Lituya Bay, Alaska	Crillon	North American Cordillera	58.62174	-137.41356		4608.10000	270.08889	Alpine tidewater	#N/A	Volumetric	7.10000E+01	3.50000E+01	1.60000E-03				1.20100E+01			
Hallet et al., 1996	Powell, 1991	10.1130/SPE261-p75	Glacier Bay, Alaska	Caroll	North American Cordillera	59.03702	-136.54770		3483.50000	265.71096	Alpine tidewater	#N/A	Volumetric	5.27000E+02	2.80000E+01	2.80000E-02				2.81500E+01			
Hallet et al., 1996	Small, 1987		Switzerland	Tsidjore	Alps	46.00540	7.74570		1297.70000	408.69276	Alpine	basalt, volc, ign,	Volumetric	4.20000E+00	5.00000E+00					1.17000E+00			
Hallet et al., 1996	Sollid et al., 1994		Svalbard	Hannabreen	Fennoscandia	78.19930	16.11720		366.40000	182.23990	High-latitude	siliciclast, shale, carb, sed,	Volumetric	9.10000E+00	1.00000E+00					8.00000E-02			
Hallet et al., 1996	Sollid et al., 1994		Svalbard	Erikbreen	Fennoscandia	78.17460	15.55140		579.40000	142.77205	High-latitude	siliciclast, shale, carb, sed,	Volumetric	9.00000E+00	3.00000E+00					1.90000E-01			
Hallet et al., 1996	Stravers and Syvitski, 1991	10.1016/0033-5894(91)90096-N	NE Canada	Cambridge Fjord	Laurentide	71.50000	-74.50000		519.40000	204.50094	High-latitude	met,	Volumetric	6.80000E+03	2.10000E+03	8.65926E-07				1.80000E-01			
Hallet et al., 1996	Stravers and Syvitski, 1991	10.1016/0033-5894(91)90096-N	NE Canada	Coronation Fjord	Laurentide	56.27710	-134.26297		4845.60000	135.49585	High-latitude		Volumetric	8.90000E+02	1.16500E+04					8.60000E-01			Duration not clearly explained, but stated to be "Modern" which in context I think means Holocene, hence 11,650 
Hallet et al., 1996	Stravers and Syvitski, 1991	10.1016/0033-5894(91)90096-N	Glacier Bay, Alaska	Muir	North American Cordillera	58.92690	-133.90810		3016.80000	315.93207	Alpine tidewater	sed,	Volumetric	6.83000E+02	8.00000E+01	2.06000E-02				1.59900E+01			
Lliboutry, 1994	Bezinge et al., 1989	10.3189/S0022143000012314	Central Alps, Switzerland	Herens Glacier	Alps	46.02000	7.57680		1533.10000	437.87404	Alpine	sed, basalt, volc, ign, met,	Volumetric	1.22500E+01	1.00000E+01					1.05000E+00	9.70000E-01	1.13000E+00	Paper on erosion of hard beds specifically 
Lliboutry, 1994	Lanser, 1958	10.3189/S0022143000012314	Central Alps, Austria	Venter Ache at Vent (Oetztal)	Alps	46.86460	10.97890		1635.60000	390.18174	Alpine	met,	Volumetric	1.20000E+01	1.00000E+00					6.00000E-01			Paper on erosion of hard beds specifically 
Lliboutry, 1994	Reheis, 1975	10.3189/S0022143000012314	Front Range, Colorado	Arapaho Glacier	North American Cordillera	40.02400	-105.64790		1267.10000	241.55706	Alpine	sed, ign, met,	Volumetric	2.50000E-01	1.00000E+00					1.90000E-01	1.40000E-01	2.35000E-01	Paper on erosion of hard beds specifically 
Lliboutry, 1994	Reheis, 1975	10.3189/S0022143000012314	Front Range, Colorado	Arapaho Glacier	North American Cordillera	40.02400	-105.64790		1267.10000	241.55706	Alpine	sed, ign, met,	Volumetric	2.50000E-01	3.00000E+02					1.65000E+00	1.26000E+00	2.04000E+00	Paper on erosion of hard beds specifically 
Richardson and Holmlund, 1992	Larsen and Mangerud, 1981	10.3189/172756481794352216	Kråkenes, Norway	Younger Dryas cirque glacier at Kråkenes	Fennoscandia	62.02685	4.98675		1996.40000	116.86809	High-latitude		Volumetric	1.70000E-01	7.00000E+02					5.50000E-01	5.00000E-01	6.00000E-01	Younger Dryas cirque glacier
Richardson and Holmlund, 1992	Schneider and Bronge, 1996	10.1080/04353676.1996.11880461	Kebnekaise, Sweden	Storglaciären	Fennoscandia	67.88396	18.56302		1191.40000	287.17143	High-latitude	volc, gabbro, ign, met,	Volumetric	6.34000E+00	1.00000E+01					6.50000E-01			
This study	Andrews & LeMasurier, 1973	10.2307/1550741	Mt Murphy, Marie Byrd Land	West Antarctic Ice Sheet	Antarctica	-74.83860	-113.40060		1057.00000	13.26226	Continental		Volumetric		8.20000E+05					4.10000E-01	3.60000E-01	4.60000E-01	
This study	Andrews, 2008	10.1111/j.1502-3885.2007.tb01248.x	Iceland	NW Iceland average	Iceland	65.77000	-22.37000		1407.20000	132.48637	Continental	basalt, volc, ign,	Volumetric	5.20000E+04	1.25000E+04					6.00000E-02	2.00000E-02	1.00000E-01	Denudation corresponding to sedimentary deposition during ice age; not necessarily glacial
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Himalaya	Khumbu Glacier	Central Asia	27.97887	86.83426		1939.10000	400.56296	Alpine	met,	Volumetric	2.75000E+01	3.00000E+02					3.90000E-02	1.90000E-02	5.90000E-02	rate converted from m/Myr; min-max from +/- values, timescale  'a few centuries'
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Himalaya	Ngzompa Glacier	Central Asia	27.98969	86.69017		1712.80000	349.09801	Alpine	met,	Volumetric	6.88000E+01	3.00000E+02					7.30000E-02	3.50000E-02	1.11000E-01	rate converted from m/Myr; min-max from +/- values, timescale  'a few centuries'
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Himalaya	Imja-Lhotse-Shar Glacier	Central Asia	27.91433	86.95458		2722.80000	439.54416	Alpine	met,	Volumetric	1.13000E+01	3.00000E+02					1.16000E-01	5.60000E-02	1.76000E-01	rate converted from m/Myr; min-max from +/- values, timescale  'a few centuries'
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Himalaya	Hamtah Glacier	Central Asia	32.25000	77.36000		2066.10000	499.82160	Alpine	met,	Volumetric	3.70000E+00	3.00000E+02					1.92000E-01	9.20000E-02	2.92000E-01	rate converted from m/Myr; min-max from +/- values, timescale  'a few centuries'
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Himalaya	Satopanth Glacier	Central Asia	30.75031	79.36068		2213.50000	430.43481	Alpine	met,	Volumetric	1.65000E+01	3.00000E+02					2.19000E-01	1.05000E-01	3.33000E-01	rate converted from m/Myr; min-max from +/- values, timescale  'a few centuries'
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Hidden Valley, Mukut Himal, Nepal Himalaya	G2 Glacier	Central Asia	35.75760	76.61690		710.30000	520.43537	Alpine	sed,	Volumetric	1.60000E+00	3.00000E+02					2.35000E-01	1.13000E-01	3.57000E-01	rate converted from m/Myr; min-max from +/- values, timescale  'a few centuries'
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Himalaya	Bara Shigri Glacier	Central Asia	32.16617	77.68744		1749.20000	318.82651	Alpine	met,	Volumetric	1.01900E+02	3.00000E+02					3.60000E-01	1.70000E-01	5.50000E-01	rate converted from m/Myr; min-max from +/- values, timescale  'a few centuries'
This study	Banerjee et al., 2018	10.1016/j.epsl.2018.06.001	Himalaya	Milerapa Glacier	Central Asia	28.62910	84.03506		1935.90000	492.52137	Alpine	met,	Volumetric	8.00000E-01	3.00000E+02					1.03400E+00	4.96000E-01	1.57200E+00	rate converted from m/Myr; min-max from +/- values, timescale  'a few centuries'
This study	Bell and Laine, 1985	10.1016/0033-5894(85)90026-2	Laurentia	Laurentide Ice Sheet	Laurentide	54.00000	-89.00000		609.40000	5.70302	Continental	basalt, volc, ign,	Volumetric		2.70000E+06		1.50000E+02	1.20000E+02	2.00000E+02	5.55556E-02	4.44444E-02	7.40741E-02	A minimum estimate is made of 1.62 × 10^6 km3
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Miles	North American Cordillera	60.62139	-144.11889		3828.60000	217.25546	Alpine	#N/A	Thermochronometric	1.35000E+02	1.00000E+06					1.50000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Mt. Tom White	North American Cordillera	60.65180	-143.69723		4456.60000	290.05445	Alpine	#N/A	Thermochronometric	2.00000E+01	1.00000E+06					1.50000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Yaga	North American Cordillera	60.17500	-142.01472		4701.60000	271.18922	Alpine	#N/A	Thermochronometric	2.40000E+01	1.00000E+06					1.50000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	White River	North American Cordillera	61.64881	-141.86646		605.70000	239.91257	Alpine	#N/A	Thermochronometric	2.20000E+01	1.00000E+06					1.50000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Martin River West	North American Cordillera	60.52562	-144.12595		4015.20000	187.94080	Alpine	#N/A	Thermochronometric	4.30000E+01	1.00000E+06					2.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Yakataga	North American Cordillera	60.14583	-142.15167		4576.00000	246.51185	Alpine	#N/A	Thermochronometric	4.90000E+01	1.00000E+06					2.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Marvine West	North American Cordillera	60.08454	-140.23327		6032.60000	195.39890	Alpine	#N/A	Thermochronometric	2.70000E+01	1.00000E+06					2.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Marvine	North American Cordillera	60.07820	-140.19070		5764.90000	209.12561	Alpine	#N/A	Thermochronometric	1.15000E+02	1.00000E+06					2.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Hayden	North American Cordillera	59.99967	-140.02178		5961.50000	220.05583	Alpine	#N/A	Thermochronometric	5.50000E+01	1.00000E+06					2.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Turner	North American Cordillera	60.04290	-139.68086		6734.40000	326.75820	Alpine tidewater	#N/A	Thermochronometric	1.24000E+02	1.00000E+06					2.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Valerie	North American Cordillera	60.11705	-139.49238		5797.40000	300.72866	Alpine tidewater	#N/A	Thermochronometric	2.72000E+02	1.00000E+06					2.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Mt. Foresta	North American Cordillera	60.20417	-139.46972		7411.20000	298.91886	Alpine	#N/A	Thermochronometric	2.30000E+01	1.00000E+06					2.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Martin River	North American Cordillera	60.56842	-143.84022		3785.90000	243.63849	Alpine	#N/A	Thermochronometric	1.76000E+02	1.00000E+06					2.50000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Fan	North American Cordillera	60.76893	-143.69010		3002.20000	268.43431	Alpine	#N/A	Thermochronometric	6.50000E+01	1.00000E+06					2.50000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Guyot	North American Cordillera	60.17583	-141.65222		6367.80000	163.20870	Alpine tidewater	#N/A	Thermochronometric	3.97000E+02	1.00000E+06					2.50000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Libbey	North American Cordillera	60.16713	-140.95253		5498.90000	273.59656	Alpine	#N/A	Thermochronometric	7.50000E+01	1.00000E+06					2.50000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Agassiz	North American Cordillera	60.16679	-140.84473		5615.40000	245.01558	Alpine	#N/A	Thermochronometric	3.08000E+02	1.00000E+06					2.50000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Mt. Steller D	North American Cordillera	60.51861	-143.09972		5580.10000	196.06848	Alpine	#N/A	Thermochronometric	9.00000E+00	1.00000E+06					2.70000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Mt. Steller E	North American Cordillera	60.51861	-143.09972		5580.10000	196.06848	Alpine	#N/A	Thermochronometric	3.60000E+01	1.00000E+06					2.70000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Mt. Steller F	North American Cordillera	60.51861	-143.09972		5580.10000	196.06848	Alpine	#N/A	Thermochronometric	2.40000E+01	1.00000E+06					2.70000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Yahtse	North American Cordillera	60.30556	-141.72694		4648.50000	149.25511	Alpine tidewater	#N/A	Thermochronometric	1.10900E+03	1.00000E+06					2.70000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Hubbard	North American Cordillera	60.07272	-139.31007		5420.70000	274.10711	Alpine tidewater	#N/A	Thermochronometric	3.40600E+03	1.00000E+06					2.70000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Tyndall	North American Cordillera	60.17926	-141.16250		4861.40000	285.80136	Alpine tidewater	#N/A	Thermochronometric	1.66000E+02	1.00000E+06					2.80000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Martin River East	North American Cordillera	60.53297	-143.80898		3910.40000	226.69611	Alpine	#N/A	Thermochronometric	4.20000E+01	1.00000E+06					3.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Mt. Steller A	North American Cordillera	60.51861	-143.09972		5580.10000	196.06848	Alpine	#N/A	Thermochronometric	2.00000E+01	1.00000E+06					3.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Mt. Steller B	North American Cordillera	60.51861	-143.09972		5580.10000	196.06848	Alpine	#N/A	Thermochronometric	8.00000E+00	1.00000E+06					3.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Mt. Steller C	North American Cordillera	60.51861	-143.09972		5580.10000	196.06848	Alpine	#N/A	Thermochronometric	8.00000E+00	1.00000E+06					3.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Bering	North American Cordillera	60.30222	-143.41972		4582.10000	61.88023	Alpine	#N/A	Thermochronometric	2.51600E+03	1.00000E+06					3.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Leeper	North American Cordillera	60.25917	-142.29944		3808.40000	260.42162	Alpine	#N/A	Thermochronometric	3.00000E+01	1.00000E+06					3.30000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Khitrov	North American Cordillera	60.46026	-143.50376		4145.20000	135.33496	Alpine	#N/A	Thermochronometric	5.10000E+01	1.00000E+06					4.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Seward	North American Cordillera	60.19394	-140.38914		6348.20000	258.83577	Alpine	#N/A	Thermochronometric	1.94900E+03	1.00000E+06					4.00000E+00			
This study	Berger and Spotila, 2008	10.1130/G24883A.1	St. Elias Mountains, Alaska	Steller	North American Cordillera	60.47803	-143.56213		4268.30000	167.81889	Alpine	#N/A	Thermochronometric	5.75000E+02	1.00000E+06					5.00000E+00			
This study	Bogen and Bønsnes, 2003	10.3402/polar.v22i2.6454	Svalbard	Bayelva catchment	Fennoscandia	78.93250	11.83500		680.50000	143.38285	High-latitude	#N/A	Volumetric	3.09000E+01	1.20000E+01					2.17037E-01			Converted from t/km2/yr, Table 3. Catchment is 55% glacierized, including Brøggerbreen. Erosion rates are estimate of glacial erosion as subset of total erosion
This study	Bogen and Bønsnes, 2003	10.3402/polar.v22i2.6454	Svalbard	Endalselva catchment	Fennoscandia	78.18546	15.76243		404.10000	173.46986	High-latitude	#N/A	Volumetric	2.88000E+01	5.00000E+00					3.98889E-01			Converted from t/km2/yr, Table 3. Catchment is 20% glaciated, erosion rates are estimate of glacial erosion as subset of total erosion
This study	Braun, 1989	10.1016/0169-555X(89)90014-7	Laurentia	Laurentide Ice Sheet	Laurentide	54.00000	-89.00000		609.40000	5.70302	Continental	basalt, volc, ign,	Volumetric	1.32000E+01	2.47000E+05		4.35000E+02	1.20000E+02	7.50000E+02	1.76500E+00	4.90000E-01	3.04000E+00	Average erosion rate is the average of the min and max rate, but the min and max are themselves the min and max of a range
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	3.70000E+04					9.00000E-02		7.00000E-01	
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	3.32000E+04					1.30000E-01		7.20000E-01	
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	3.68000E+04					1.80000E-01		7.40000E-01	
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	3.25000E+04					2.10000E-01		6.80000E-01	
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	2.96000E+04					2.40000E-01		7.00000E-01	
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	2.65000E+04					2.80000E-01		7.30000E-01	
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	2.30000E+04					2.90000E-01		7.30000E-01	
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	2.03000E+04					3.50000E-01		7.10000E-01	
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.29000E+04					6.40000E-01	6.40000E-01		
This study	Briner and Swanson, 1998	10.1130/0091-7613(1998)026%3C0003:UICCTC%3E2.3.CO;2	Mt. Erie, Puget Lowland, Washington	Cordilleran Ice Sheet	North American Cordillera	49.03568	-122.71367		1470.20000	22.62337	Continental	sed,	Cosmogenic surface	1.00000E-08	1.77000E+04					6.40000E-01	6.40000E-01		
